tmax_bin,n_days,mean_tmax,mean_total,mean_violent,mean_property,share_days
15_20,1595,17.704326018808775,580.3912225705329,172.18808777429467,311.4877742946708,0.311949931547037
20_25,2317,22.151963746223565,590.7980146741476,184.56883901596893,314.06430729391457,0.45315861529434776
25_30,874,26.620938215102974,599.8524027459954,190.62128146453088,315.5194508009153,0.17093682769411306
30_35,164,31.52926829268293,603.9512195121952,197.0548780487805,314.5914634146341,0.03207510267944455
ge35,26,36.69615384615385,638.8846153846154,210.80769230769232,326.61538461538464,0.005085077254058283
lt15,137,13.723357664233578,554.2408759124088,156.09489051094891,304.94160583941607,0.026794445530999415
