start,end,n_days
2010-09-27,2010-09-27,1
2010-11-03,2010-11-04,2
2012-09-15,2012-09-15,1
2014-05-14,2014-05-15,2
2014-10-03,2014-10-03,1
2015-10-10,2015-10-10,1
2016-06-20,2016-06-20,1
2016-09-26,2016-09-27,2
2016-10-20,2016-10-20,1
2017-09-02,2017-09-03,2
2017-10-15,2017-10-15,1
2017-10-23,2017-10-25,3
2019-10-22,2019-10-22,1
2019-10-24,2019-10-24,1
2020-09-06,2020-09-06,1
2022-04-07,2022-04-08,2
2022-09-04,2022-09-04,1
2022-09-08,2022-09-09,2
