outcome,b1_linear,b1_se,b1_p,b1_pct_per_c,b2_quadratic,b2_se,b2_p,turning_point_anom_c,turning_point_in_support,anom_min,anom_max,n
violent,0.015376563137252872,0.0009966636705277551,1.0604830080875832e-53,1.5495390756444793,-0.0004149740965868076,0.00017650035237318047,0.018716828926674495,18.52713610768266,False,-7.0262777777777785,11.323722222222225,5113.0
violent_ucr,0.015848567600279213,0.0014958599359222973,3.144947064550809e-26,1.5974822251066056,-0.0006467589735171237,0.0002689939512465332,0.016200698778182317,12.25229818930344,False,-7.0262777777777785,11.323722222222225,5113.0
interpersonal,0.016252864575837175,0.0010462992107446657,2.0529356051015256e-54,1.6385660843749372,-0.0003630823717376834,0.00018971045101384308,0.055635939274197924,22.38178694555213,False,-7.0262777777777785,11.323722222222225,5113.0
robbery,0.013526464785707983,0.0016714652259468697,5.841437597399011e-16,1.3618361287968783,-0.0007710282804915519,0.0003341092349741466,0.021015095295035098,8.771704701340195,True,-7.0262777777777785,11.323722222222225,5113.0
property,0.002876329115955336,0.0007918336028930662,0.00028069743469509795,0.2880469719508172,-0.0004042691689124121,0.00013976774187767632,0.0038226774561117504,3.5574430814170173,True,-7.0262777777777785,11.323722222222225,5113.0
theft,0.00347679190304798,0.001243674204900176,0.005180652735521518,0.3482842954733334,-0.0002846617855216437,0.00020897489052871878,0.1731405286602431,6.106882061244622,True,-7.0262777777777785,11.323722222222225,5113.0
structure_burglary,0.0010039063713180706,0.00150767213682538,0.5054972816612524,0.10044104539890242,-0.0005425455470026501,0.00028005307736839993,0.05270924055787629,0.9251816523647249,True,-7.0262777777777785,11.323722222222225,5113.0
vehicle_burglary,-0.0007505332564465795,0.0015562530064127556,0.629614557867047,-0.07502516768114198,-0.000736480235259365,0.0003338088623071021,0.027363474632266547,-0.5095406641715684,True,-7.0262777777777785,11.323722222222225,5113.0
motor_vehicle_theft,0.0021127822130435625,0.001209934697177469,0.0807770310795774,0.21150157100706668,-0.0008470795553586212,0.0002653147206696158,0.0014093228941861114,1.2470978668285124,True,-7.0262777777777785,11.323722222222225,5113.0
vandalism,0.0070483410339768375,0.0015097605497466878,3.033833977838932e-06,0.7073239051841318,4.993861249901453e-05,0.00026583720261014133,0.8509910129941045,-70.57005272339042,False,-7.0262777777777785,11.323722222222225,5113.0
arson,0.010271283520778813,0.004152084967653226,0.013369751371221004,1.0324214220213124,0.0007563358425018664,0.0007565136636381986,0.3174242733324447,-6.79016049722215,True,-7.0262777777777785,11.323722222222225,5113.0
