outcome,bin,coef,se,p,pct,p_fdr_bh,sig_fdr_05
violent,15_20,-0.03045859973515841,0.00480113655277158,2.2381746219100175e-10,-2.9999410482757227,1.5387450525631372e-09,True
violent,25_30,0.039194262339431046,0.004539151959391386,5.887603531133637e-18,3.9972491517408226,1.6190909710617501e-16,True
violent,30_35,0.07060804954972781,0.008293060451602384,1.6787100285059482e-17,7.316051767724296,3.077635052260905e-16,True
violent,ge35,0.09240266657540291,0.012906063723890264,8.089393124626799e-13,9.680638044354705,7.4152770309079e-12,True
violent,lt15,-0.08965210769646187,0.013956405379900061,1.3297950057337946e-10,-8.575080979092464,1.044838933076553e-09,True
violent_ucr,15_20,-0.04285852143303413,0.007093055015130081,1.5191202750523362e-09,-4.195307641490453,7.59560137526168e-09,True
violent_ucr,25_30,0.0409457597506363,0.0067448856785123495,1.274030298834077e-09,4.179559676001388,7.0071666435874234e-09,True
violent_ucr,30_35,0.06108903852448773,0.013411049465769563,5.235384499937129e-06,6.299355735157541,1.919640983310281e-05,True
violent_ucr,ge35,0.056002755446053876,0.024874017614211014,0.024356672626825834,5.760059789399041,0.0496154442398304,True
violent_ucr,lt15,-0.09978393881669823,0.017859782460383833,2.3092640389869597e-08,-9.496706059927574,9.769963241867907e-08,True
interpersonal,15_20,-0.030764536614350996,0.005027750647563333,9.419609236027979e-10,-3.0296124045804063,5.756427866461542e-09,True
interpersonal,25_30,0.03948249480754204,0.004847897631174819,3.8163704372259794e-16,4.027228855895082,5.247509351185722e-15,True
interpersonal,30_35,0.07976253887204468,0.008904836608584607,3.32981053919665e-19,8.302985964563202,1.8313957965581578e-17,True
interpersonal,ge35,0.11175707464485957,0.01522105594279813,2.1000407072458634e-13,11.824117851171923,2.3100447779704497e-12,True
interpersonal,lt15,-0.08572519406440796,0.014376674289161919,2.479560013296801e-09,-8.215357378789145,1.1364650060943672e-08,True
robbery,15_20,-0.041514424887705875,0.009072977719043963,4.748300640749757e-06,-4.0664503065151685,1.8654038231516905e-05,True
robbery,25_30,0.02793069539505852,0.008968346209222482,0.0018434186028463398,2.832441433449384,0.00533621174508151,True
robbery,30_35,0.04459203966892123,0.018798620388567423,0.017687730133529284,4.560120907089682,0.04186369486985149,True
robbery,ge35,0.028270306116456118,0.0403245664621197,0.48325991466108176,2.8673703638515846,0.5655169214119042,False
robbery,lt15,-0.09844874143908189,0.022364788297331382,1.0728092149567168e-05,-9.375785590810782,3.6877816764137145e-05,True
property,15_20,-0.0023393079683546314,0.0037805334087685637,0.5360631283893267,-0.23365739198119018,0.6017035114574075,False
property,25_30,0.008452336458762949,0.00358127849133609,0.018267794125026104,0.8488158309552407,0.04186369486985149,True
