category,n,share
violent_code,928072,0.30828204555842553
violent_ucr,340555,0.11312375766659226
property_code,1602136,0.5321890578993803
other,480256,0.15952889654219415
kw_violent,793369,0.26353711587316775
kw_property,1851160,0.6149085323724184
kw_both,0,0.0
code_violent_and_property,0,0.0
