outcome,bin,coef,se,p,pct
violent,15_20,-0.03045859973515841,0.00480113655277158,2.2381746219100175e-10,-2.9999410482757227
violent,25_30,0.039194262339431046,0.004539151959391386,5.887603531133637e-18,3.9972491517408226
violent,30_35,0.07060804954972781,0.008293060451602384,1.6787100285059482e-17,7.316051767724296
violent,ge35,0.09240266657540291,0.012906063723890264,8.089393124626799e-13,9.680638044354705
violent,lt15,-0.08965210769646187,0.013956405379900061,1.3297950057337946e-10,-8.575080979092464
violent_ucr,15_20,-0.04285852143303413,0.007093055015130081,1.5191202750523362e-09,-4.195307641490453
violent_ucr,25_30,0.0409457597506363,0.0067448856785123495,1.274030298834077e-09,4.179559676001388
violent_ucr,30_35,0.06108903852448773,0.013411049465769563,5.235384499937129e-06,6.299355735157541
violent_ucr,ge35,0.056002755446053876,0.024874017614211014,0.024356672626825834,5.760059789399041
violent_ucr,lt15,-0.09978393881669823,0.017859782460383833,2.3092640389869597e-08,-9.496706059927574
interpersonal,15_20,-0.030764536614350996,0.005027750647563333,9.419609236027979e-10,-3.0296124045804063
interpersonal,25_30,0.03948249480754204,0.004847897631174819,3.8163704372259794e-16,4.027228855895082
interpersonal,30_35,0.07976253887204468,0.008904836608584607,3.32981053919665e-19,8.302985964563202
interpersonal,ge35,0.11175707464485957,0.01522105594279813,2.1000407072458634e-13,11.824117851171923
interpersonal,lt15,-0.08572519406440796,0.014376674289161919,2.479560013296801e-09,-8.215357378789145
robbery,15_20,-0.041514424887705875,0.009072977719043963,4.748300640749757e-06,-4.0664503065151685
robbery,25_30,0.02793069539505852,0.008968346209222482,0.0018434186028463398,2.832441433449384
robbery,30_35,0.04459203966892123,0.018798620388567423,0.017687730133529284,4.560120907089682
robbery,ge35,0.028270306116456118,0.0403245664621197,0.48325991466108176,2.8673703638515846
robbery,lt15,-0.09844874143908189,0.022364788297331382,1.0728092149567168e-05,-9.375785590810782
property,15_20,-0.0023393079683546314,0.0037805334087685637,0.5360631283893267,-0.23365739198119018
property,25_30,0.008452336458762949,0.00358127849133609,0.018267794125026104,0.8488158309552407
property,30_35,-0.0021795638382191215,0.007460036856341771,0.7701602482432044,-0.2177190313685906
property,ge35,-0.00455758429161468,0.01395243254200111,0.743931417913768,-0.4547214264399746
property,lt15,-0.022655848677070822,0.010559940946717057,0.03191670825555768,-2.2401132169894367
theft,15_20,-0.006770369925327785,0.005931610587848023,0.2537014289969888,-0.6747502606703537
theft,25_30,0.007508575676529114,0.005167358780096143,0.14620208164622117,0.7536835717480095
theft,30_35,0.005522204092493953,0.008751258263808273,0.5280285604795218,0.5537479566664505
theft,ge35,-0.001769787597067085,0.02245432265198485,0.9371779961438768,-0.1768222446461909
theft,lt15,-0.03774928715892567,0.015147771176248053,0.012700145252309792,-3.7045664353132612
structure_burglary,15_20,0.009364987397262187,0.008228354132974578,0.25506362991505227,0.9408976102395439
structure_burglary,25_30,0.014650177720266652,0.008566437444452084,0.0872319944455515,1.4758017554574954
structure_burglary,30_35,-0.023351389698028635,0.017148555569021177,0.17328887006299953,-2.3080855869251238
structure_burglary,ge35,0.002262294847085816,0.03028131293383131,0.9404460302355768,0.22648557668945024
structure_burglary,lt15,-0.007385138504698824,0.025236812314338306,0.7698022506508001,-0.7357935376813729
vehicle_burglary,15_20,0.013283495009237242,0.007602489188043658,0.08059293806798627,1.337211257800841
vehicle_burglary,25_30,-0.014441677699013937,0.00720222350644971,0.04494494745064261,-1.4337896862095523
vehicle_burglary,30_35,-0.0216123165984487,0.016249265114722015,0.1835021723075111,-2.1380443923449177
vehicle_burglary,ge35,-0.03931013320235441,0.04604238692066971,0.3932261265549709,-3.8547515433865143
vehicle_burglary,lt15,-0.029539078615176628,0.01695714150693209,0.08151114675555028,-2.9107064251573056
motor_vehicle_theft,15_20,-0.0014943572174238723,0.006041214830848947,0.8046293310201575,-0.14932412216452917
motor_vehicle_theft,25_30,0.007922662795276314,0.006533137877087096,0.22524884324567795,0.7954130134972814
motor_vehicle_theft,30_35,-0.030912037582282843,0.013348975194688771,0.020575408679853236,-3.0439145757934827
motor_vehicle_theft,ge35,-0.08777748049801093,0.038527420292842895,0.022708000590678016,-8.403532594884577
motor_vehicle_theft,lt15,-0.015063219958682095,0.016181215236296287,0.3519012439868008,-1.4950337164468253
vandalism,15_20,-0.019266502193803242,0.006744094848522552,0.0042794098018234935,-1.9082089369484634
vandalism,25_30,0.0225120897432034,0.007024607288921993,0.0013518120667412572,2.27673990849131
vandalism,30_35,0.04092259195499362,0.014723644359279269,0.005446289399318352,4.17714609321147
vandalism,ge35,0.08048584537025844,0.021904576380956147,0.00023842306296414695,8.381350555479727
vandalism,lt15,-0.01649091220218038,0.01966307343150311,0.4016521651026508,-1.6355681489253038
arson,15_20,-0.0271134770649814,0.021165769976037863,0.20019157969270995,-2.674920638574718
arson,25_30,0.018328746861264785,0.021912224930664796,0.4028949592979034,1.8497749297294197
arson,30_35,0.050879287254012626,0.04811454124564048,0.29030089998116804,5.219587216377852
arson,ge35,0.10547512483451671,0.12107861957987194,0.3836835948976628,11.123846193841436
arson,lt15,-0.05315939376498681,0.04985999737410515,0.28634534724546123,-5.177114133172189
