outcome,term,coef,se,p,n,pct
total,temp_anom,0.006265253379887363,0.0010187279657578165,7.74463226282113e-10,5113.0,0.6284921132875709
total,I(temp_anom ** 2),-0.00028462915408225715,0.0001619505203685469,0.07883144986052365,5113.0,-0.02845886510474127
violent,temp_anom,0.015376563137252872,0.0009966636705277551,1.0604830080875832e-53,5113.0,1.5495390756444793
violent,I(temp_anom ** 2),-0.0004149740965868076,0.00017650035237318047,0.018716828926674495,5113.0,-0.04148880067451621
violent_ucr,temp_anom,0.015848567600279213,0.0014958599359222973,3.144947064550809e-26,5113.0,1.5974822251066056
violent_ucr,I(temp_anom ** 2),-0.0006467589735171237,0.0002689939512465332,0.016200698778182317,5113.0,-0.06465498700145567
property,temp_anom,0.002876329115955336,0.0007918336028930662,0.00028069743469509795,5113.0,0.2880469719508172
property,I(temp_anom ** 2),-0.0004042691689124121,0.00013976774187767632,0.0038226774561117504,5113.0,-0.040418746314263565
