outcome,threshold,tmax_cutoff,coef,se,p,pct,n,n_hot_days
violent,hot35,28.9,0.0746268900700035,0.01536637238069208,1.1947475449853313e-06,7.748205662189633,5113.0,26
violent,hot_p95,28.9,0.058651891785095,0.006155490399401219,1.5974664193051302e-21,6.040604042924835,5113.0,286
interpersonal,hot35,28.9,0.09270183476484417,0.017747577732799585,1.7571349568666963e-07,9.713455911041313,5113.0,26
interpersonal,hot_p95,28.9,0.0656867697885713,0.006273001637772429,1.1696802173637075e-25,6.789216868360293,5113.0,286
property,hot35,28.9,-0.006480505183434737,0.014131816238439439,0.6465390089666085,-0.6459551996563562,5113.0,26
property,hot_p95,28.9,-0.006317223708865782,0.005264034443427011,0.23011113052272014,-0.6297312002137345,5113.0,286
