sample,model,term,coef,se,p,partial_r2,joint_F,n
all_months,oni_only,oni,0.39566148620264685,0.12452971956980063,0.0014868113942793667,,,166
all_months,distributed,oni,-0.3616501749301944,0.7570035255631664,0.6328359188874435,0.08666346566809568,5.0021072405092655,166
all_months,distributed,oni_l1,1.1357063452956977,1.2147573528454918,0.3498272376871582,0.08666346566809568,5.0021072405092655,166
all_months,distributed,oni_l2,-0.38099449437004484,0.6976071346841488,0.5849664211272634,0.08666346566809568,5.0021072405092655,166
nov_mar,oni_only,oni,0.32139246694695417,0.13470588010117018,0.017038171493722474,,,68
nov_mar,distributed,oni,-0.9003592129838013,1.1411316376846243,0.43010875373881585,0.10714188056035145,3.2234414734932506,68
nov_mar,distributed,oni_l1,0.8889753299398416,1.9884629939321794,0.654826995540807,0.10714188056035145,3.2234414734932506,68
nov_mar,distributed,oni_l2,0.3110828343385259,1.1734471985242347,0.7909311262048736,0.10714188056035145,3.2234414734932506,68
