outcome,lead_days,coef,se,p,n
total,7,-0.00025721124855273766,0.0008890355281702248,0.7723403907627527,5106.0
total,14,0.00035733007531224374,0.000899458874235878,0.6911666883632241,5099.0
total,21,-0.0023278339017656167,0.0008411029925678633,0.0056471282399024455,5092.0
total,28,-0.001390966677201769,0.0008429897841314214,0.09893480031855023,5085.0
violent,7,-0.002451034309172405,0.0008998649680417386,0.0064539458979248655,5106.0
violent,14,-0.0008046611507980302,0.0009799402411906839,0.41157058418574055,5099.0
violent,21,-0.0027730511132730154,0.00091760496381812,0.002510663325058434,5092.0
violent,28,-0.0018139728563058358,0.0009420578249977284,0.05416146108844623,5085.0
