AREA,AREA NAME,n_hot35,mean_tmax,mean_tmax_minus_lax,mean_violent
1,Central,105,24.24838646587131,2.5710541756307452,11.5892822217876
2,Rampart,105,24.24838646587131,2.5710541756307452,10.071386661451204
3,Southwest,105,24.24838646587131,2.5710541756307452,12.932524936436534
4,Hollenbeck,105,24.24838646587131,2.5710541756307452,7.54449442597301
5,Harbor,32,22.503786057692306,0.8036057692307693,7.67167467948718
6,Hollywood,105,24.24838646587131,2.5710541756307452,8.890279679248973
7,Wilshire,105,24.24838646587131,2.5710541756307452,6.358693526305496
8,West LA,25,21.669966673201333,-0.009762791609488319,4.665555773377769
9,Van Nuys,644,26.37884160756501,4.705614657210402,6.783687943262412
10,West Valley,644,26.37884160756501,4.705614657210402,6.193459416863672
11,Northeast,105,24.24838646587131,2.5710541756307452,6.874633287698025
12,77th Street,105,24.24838646587131,2.5710541756307452,17.03481322120086
13,Newton,105,24.24838646587131,2.5710541756307452,11.097398787404655
14,Pacific,25,21.669966673201333,-0.009762791609488319,6.5122524995099
15,N Hollywood,369,25.19767716535433,3.520846456692914,7.481496062992126
16,Foothill,369,25.19767716535433,3.520846456692914,6.217125984251968
17,Devonshire,644,26.37884160756501,4.705614657210402,5.952127659574468
18,Southeast,42,22.825098039215685,1.1450196078431374,13.577843137254902
19,Mission,644,26.37884160756501,4.705614657210402,8.33096926713948
20,Olympic,105,24.24838646587131,2.5710541756307452,9.518482300019558
21,Topanga,644,26.37884160756501,4.705614657210402,6.232663514578408
